track_name,artist,album,release_date,popularity,spotify_url,id,duration_min
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,95,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,3.8697666666666666
Starboy,The Weeknd,Starboy,2016-11-25,90,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,7MXVkk9YMctZqd1Srtv4MB,3.840883333333333
Señorita,Shawn Mendes,Señorita,2019-06-21,80,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,0TK2YIli7K1leLovkQiNik,3.1826666666666665
Heat Waves,Glass Animals,Dreamland,2020-08-07,87,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,3USxtqRwSYz57Ewm6wWRMp,3.9800833333333334
Let Me Love You,DJ Snake,Encore,2016-08-05,87,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,0lYBSQXN6rCTvUZvg9S0lU,3.4324333333333334
La La La,Naughty Boy,La La La,2013-01-01,77,https://open.spotify.com/track/52gvlDnre9craz9dKGObp8,52gvlDnre9craz9dKGObp8,3.67965
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,73,https://open.spotify.com/track/0yc6Gst2xkRu0eMLeRMGCX,0yc6Gst2xkRu0eMLeRMGCX,4.8436
Good For You,Selena Gomez,Revival (Deluxe),2015-10-09,80,https://open.spotify.com/track/5xdVqHtFS0eLuNp4Z8Wbpa,5xdVqHtFS0eLuNp4Z8Wbpa,3.688
Baby,Justin Bieber,My World 2.0,2010-01-01,84,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,6epn3r7S14KUqlReYr77hA,3.570666666666667
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),2017-04-20,88,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,7JJmb5XwzOO8jgpou264Ml,3.324
Believer,Imagine Dragons,Evolve,2017-06-23,88,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0pqnGHJpmpxLKifKRmU6WP,3.4057666666666666
Love Me Like You Do,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),2018-02-09,81,https://open.spotify.com/track/0Cy7wt6IlRfBPHXXjmZbcP,0Cy7wt6IlRfBPHXXjmZbcP,4.225333333333333
Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,85,https://open.spotify.com/track/3BJe4B8zGnqEdQPMvfVjuS,3BJe4B8zGnqEdQPMvfVjuS,4.423783333333334
Treat You Better,Shawn Mendes,Illuminate,2017-04-20,86,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,3QGsuHI8jO1Rx4JWLUh9jd,3.1328833333333335
Blinding Lights,The Weeknd,Blinding Lights,2020-09-11,63,https://open.spotify.com/track/6qYkmqFsXbj8CQjAdbYz07,6qYkmqFsXbj8CQjAdbYz07,3.3340833333333335
Jalebi Baby (Tesher x Jason Derulo),Tesher,Jalebi Baby (Tesher x Jason Derulo),2021-05-28,68,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8,6FvSS3Goz7OC8oCC2eWqe8,2.8192333333333335
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,83,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,2.634
Despacito,Luis Fonsi,VIDA,2019-02-01,82,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,6habFhsOp2NvshLv26DqMb,3.8226666666666667
Sorry,Justin Bieber,Purpose (Deluxe),2015-11-13,86,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,09CtPGIpYB4BrO8qb1RGsF,3.346433333333333
Die For You,The Weeknd,Starboy,2016-11-25,81,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz,2Ch7LmS7r2Gy2kc64wv3Bz,4.337533333333333
No Lie,Sean Paul,Mad Love The Prequel,2018-06-29,84,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA,48QmG1dfvMuYLxMPt7KSRA,3.6862666666666666
Mockingbird,Eminem,Encore (Deluxe Version),2004-11-12,87,https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s,561jH07mF1jHuk7KlaeF0s,4.179333333333333
Ransom,Lil Tecca,We Love You Tecca,2019-08-30,87,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1lOe9qE0vR9zwWQAOk6CoO,2.187333333333333
Lover,Taylor Swift,Lover,2019-08-23,86,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,1dGr1c8CrMLDpV6mPbImSI,3.6884333333333332
Save Your Tears,The Weeknd,After Hours,2020-03-20,87,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,5QO79kh1waicV47BqGRL3g,3.5937666666666668
On The Floor,Jennifer Lopez,Love?,2011-04-29,83,https://open.spotify.com/track/3C0nOe05EIt1390bVABLyN,3C0nOe05EIt1390bVABLyN,4.747766666666666
Diet Mountain Dew,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,79,https://open.spotify.com/track/2vtmY2mSccRzKGjtcHSzI3,2vtmY2mSccRzKGjtcHSzI3,3.715333333333333
Harleys In Hawaii,Katy Perry,Harleys In Hawaii,2019-10-16,72,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR,5nCthAh3jt4xKuLJAifAaR,3.0969166666666665
"Taki Taki (with Selena Gomez, Ozuna & Cardi B),DJ Snake,""Taki Taki (with Selena Gomez, Ozuna & Cardi B)"",2018-09-28,73,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,3.5416666666666665"
One Dance,Drake,Views,2016-05-06,62,https://open.spotify.com/track/5ZKG94fnjiuMH5yrC5S9lS,5ZKG94fnjiuMH5yrC5S9lS,2.89955
Counting Stars,OneRepublic,Native,2013-01-01,88,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,2tpWsVSb9UEmDRxAl1zhX1,4.28775
lovely (with Khalid),Billie Eilish,lovely (with Khalid),2018-04-19,89,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,0u2P5u6lvoDfwTYjAADbn4,3.3364166666666666
Reminder,The Weeknd,Starboy,2016-11-25,84,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,37F0uwRSrdzkBiuj0D5UHI,3.648
Without Me,Eminem,The Eminem Show,2002-05-26,89,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,7lQ8MOhq6IN2w8EYcFNSUk,4.838666666666667
Cruel Summer,Taylor Swift,Lover,2019-08-23,90,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,1BxfuPKGuaTgP7aM0Bbdwr,2.9737666666666667
The Nights,Avicii,The Days / Nights,2014-01-01,86,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,0ct6r3EGTcMLPtrXHDvVjc,2.9443
Animals,Maroon 5,V (Asia Tour Edition),2015-05-18,74,https://open.spotify.com/track/3h4T9Bg8OVSUYa6danHeH5,3h4T9Bg8OVSUYa6danHeH5,3.850216666666667
After Hours,The Weeknd,After Hours,2020-03-20,83,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,2p8IUWQDrpjuFltbdgLOag,6.0171
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,69,https://open.spotify.com/track/0SpkyS1Q4MD8GaVcP5YjT4,0SpkyS1Q4MD8GaVcP5YjT4,3.5858333333333334
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,2023-05-19,86,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe,6GGtHZgBycCgGBUhZo81xe,3.4859333333333336
Memories,Maroon 5,JORDI (Deluxe),2021-06-11,85,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,4cktbXiXOapiLBMprHFErI,3.1581
Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,83,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,1u8c2t2Cy7UBoG4ArRcF5g,3.863766666666667
Bones,Imagine Dragons,Bones,2022-03-11,77,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,0HqZX76SFLDz2aW8aiqi7G,2.7544
K.,Cigarettes After Sex,K.,2016-11-15,41,https://open.spotify.com/track/3Mlhgm39yBpuCwyZB8d8Md,3Mlhgm39yBpuCwyZB8d8Md,5.326
Danza Kuduro,Don Omar,Meet The Orphans,2010-01-01,79,https://open.spotify.com/track/6DXLO8LndZMVOHM0wNbpzg,6DXLO8LndZMVOHM0wNbpzg,3.3131
Ghost,Justin Bieber,Justice,2021-03-19,85,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,6I3mqTwhRpn34SLVafSH7G,2.553166666666667
Circles,Post Malone,Hollywood's Bleeding,2019-09-06,87,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,3.588
Thunder,Imagine Dragons,Evolve,2017-06-23,86,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1zB4vmk8tFRmM9UULNzbLB,3.1191
Cry,Cigarettes After Sex,Cry,2019-10-25,75,https://open.spotify.com/track/3p4hRhMcb6ch8OLtATMaLw,3p4hRhMcb6ch8OLtATMaLw,4.279983333333333
God's Plan,Drake,Scorpion,2018-06-29,84,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn,3.3162166666666666
Young And Beautiful,Lana Del Rey,Young And Beautiful,2013-01-01,88,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9,2nMeu6UenVvwUktBCpLMK9,3.9342166666666665
"Call Out My Name,The Weeknd,""My Dear Melancholy,"",2018-03-30,86,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,09mEdoA6zrmBPgTEN5qXmN,3.806216666666667"
Demons,Imagine Dragons,Night Visions,2012-09-04,85,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR,5qaEfEh1AtSdrdrByCP7qR,2.9584333333333332
Hurts So Good,Astrid S,Astrid S,2016-05-20,70,https://open.spotify.com/track/46ydq5g3k17iLJs3qMDvO6,46ydq5g3k17iLJs3qMDvO6,3.4788
One Love,Blue,One Love,2002,67,https://open.spotify.com/track/2W5acFzXf5FrktecuD30Or,2W5acFzXf5FrktecuD30Or,3.4531
The Hills,The Weeknd,Beauty Behind The Madness,2015-08-28,87,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,7fBv7CLKzipRk6EC6TWHOB,4.03755
Arcade,Duncan Laurence,Arcade,2019-03-07,77,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,1Xi84slp6FryDSCbzq4UCD,3.0604
Love Yourself,Justin Bieber,Purpose (Deluxe),2015-11-13,86,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,50kpGaPAhYJ3sGmk6vplg0,3.8953333333333333
Hope,XXXTENTACION,?,2018-03-16,84,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,2ZRo7axmMPeSVUvDbGkJah,1.8481
Elastic Heart,Sia,1000 Forms Of Fear,2014-07-04,81,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz,6kwAbEjseqBob48jCus7Sz,4.286666666666667
"Hips Don't Lie (feat. Wyclef Jean),Shakira,""Oral Fixation, Vol. 2 (Expanded Edition)"",2005-11-28,88,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,3.6348833333333332"
Summer Love,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,71,https://open.spotify.com/track/1MBM7CyZbwJpVbbZJnHHRg,1MBM7CyZbwJpVbbZJnHHRg,4.216216666666667
I Want It That Way,Backstreet Boys,The New Best Of (All Hits & Remixes) 2016,2016-06-03,0,https://open.spotify.com/track/7v0kHF6tXT8ekVrJAbxpph,7v0kHF6tXT8ekVrJAbxpph,3.55
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,2006-09-12,77,https://open.spotify.com/track/3pD0f7hSJg2XdQ6udw5Tey,3pD0f7hSJg2XdQ6udw5Tey,7.476216666666667
Mirrors,Justin Timberlake,The 20/20 Experience - The Complete Experience,2013-09-27,0,https://open.spotify.com/track/3V2xoX4Ap0ZX9WN8ckSlD4,3V2xoX4Ap0ZX9WN8ckSlD4,8.0691
Cry Me a River,Justin Timberlake,Justified,2002-11-04,78,https://open.spotify.com/track/7Lf7oSEVdzZqTA0kEDSlS5,7Lf7oSEVdzZqTA0kEDSlS5,4.80555
Unconditionally,Katy Perry,PRISM,2013-01-01,0,https://open.spotify.com/track/6OaYLWpreRh9EoLYwrS75P,6OaYLWpreRh9EoLYwrS75P,3.8146333333333335
Buttons,The Pussycat Dolls,PCD Tour Edition (International Tour Edition),2005-01-01,0,https://open.spotify.com/track/7ev8HQ5RrmyzgOH0R05ZY9,7ev8HQ5RrmyzgOH0R05ZY9,3.759333333333333
The One That Got Away,Katy Perry,Teenage Dream: The Complete Confection,2012-03-12,74,https://open.spotify.com/track/3oL3XRtkP1WVbMxf7dtTdu,3oL3XRtkP1WVbMxf7dtTdu,3.788883333333333
E.T.,Katy Perry,Teenage Dream: The Complete Confection,2012-03-12,71,https://open.spotify.com/track/4z8ssgZfs5TzKiO8HaGWXO,4z8ssgZfs5TzKiO8HaGWXO,3.43955
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,2007-03-31,68,https://open.spotify.com/track/5i66xrvSh1MjjyDd6zcwgj,5i66xrvSh1MjjyDd6zcwgj,4.599766666666667
Don't Phunk With My Heart,Black Eyed Peas,Monkey Business (International Version),2005-01-01,0,https://open.spotify.com/track/75fscz2R984pg4bmyP1Q53,75fscz2R984pg4bmyP1Q53,3.9962166666666668
My Humps,Black Eyed Peas,Monkey Business (International Version),2005-01-01,0,https://open.spotify.com/track/2tVouQintSo2ffjVgnv6Sh,2tVouQintSo2ffjVgnv6Sh,5.449333333333334
Low (feat. T-Pain),Flo Rida,Mail on Sunday,2008-03-17,85,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,0CAfXk7DXMnon4gLudAp7J,3.8566666666666665
Halo,Beyoncé,I AM...SASHA FIERCE,2008-11-14,69,https://open.spotify.com/track/3ERa3mEeOnrh2Mc47qM6T1,3ERa3mEeOnrh2Mc47qM6T1,4.360666666666667
TiK ToK,Kesha,Animal + Cannibal (Deluxe Edition),2010-11-19,0,https://open.spotify.com/track/4srpHYFHKjVGRDNHqRpWxi,4srpHYFHKjVGRDNHqRpWxi,3.3282166666666666
Grenade,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,80,https://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ,2tJulUYLDKOg9XrtVkMgcJ,3.7015166666666666
Payphone,Maroon 5,Payphone,2012-01-01,0,https://open.spotify.com/track/0iyEaciAmtiv8xMkBg97Fy,0iyEaciAmtiv8xMkBg97Fy,3.8577666666666666
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II,2011-11-11,83,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz,0qOnSQQF0yzuPWsXrQ9paz,3.516
Bang Bang,Jessie J,My Everything (Deluxe),2014-08-22,0,https://open.spotify.com/track/3oEekS4xhmFQ88ieCVTZ7H,3oEekS4xhmFQ88ieCVTZ7H,3.322
Dangerous Woman,Ariana Grande,Dangerous Woman,2016-05-20,6,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi,2h1IPjP471JJRSShTHRUhi,3.9324333333333334
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,R.E.D. (Deluxe Edition),2012-01-01,71,https://open.spotify.com/track/4kte3OcW800TPvOVgrLLj8,4kte3OcW800TPvOVgrLLj8,4.193766666666667
Beautiful Girls,Sean Kingston,Beautiful Girls,2007-07-23,81,https://open.spotify.com/track/1hGy2eLcmC8eKx7qr1tOqx,1hGy2eLcmC8eKx7qr1tOqx,3.7562166666666665
Yellow,Coldplay,Parachutes,2000-07-10,92,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,4.4462166666666665
Bring Me To Life,Evanescence,Fallen,2003-01-01,8,https://open.spotify.com/track/646J2jOtUe4Jflrmh6JFjN,646J2jOtUe4Jflrmh6JFjN,3.93155
Every time we touch,Cascada,Everytime We Touch [Premium Edition],2006,2,https://open.spotify.com/track/2gOlrge3YTmYPwsCGgU62K,2gOlrge3YTmYPwsCGgU62K,3.2854
Apologize,Timbaland,Dreaming Out Loud (International Version),2007-01-01,0,https://open.spotify.com/track/24nRdDUUIdM2mv1YdwMdu6,24nRdDUUIdM2mv1YdwMdu6,3.080433333333333
Bailando - English Version,Enrique Iglesias,Bailando,2014-01-01,0,https://open.spotify.com/track/3Y9xtYyVyF13po6xePV5Cp,3Y9xtYyVyF13po6xePV5Cp,4.03885
Chandelier,Sia,1000 Forms Of Fear,2014-07-04,83,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC,4VrWlk8IQxevMvERoX08iC,3.602
As Long as You Love Me,Backstreet Boys,Backstreet's Back,1997-10-09,0,https://open.spotify.com/track/6bH2owMgMDNW6zygbotS49,6bH2owMgMDNW6zygbotS49,3.6851
Royals,Lorde,Pure Heroine,2013-09-27,78,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,2dLLR6qlu5UJ5gk0dKz0h3,3.16975
Maps,Maroon 5,V,2014-09-02,85,https://open.spotify.com/track/4gbVRS8gloEluzf0GzDOFc,4gbVRS8gloEluzf0GzDOFc,3.166
Don't You Worry Child - Radio Edit,Swedish House Mafia,Don't You Worry Child,2012-09-14,82,https://open.spotify.com/track/2V65y3PX4DkRhy1djlxd9p,2V65y3PX4DkRhy1djlxd9p,3.5477
Only Girl (In The World),Rihanna,Loud,2010-11-16,75,https://open.spotify.com/track/0AH6WMe3OlAlUb5miXt2FQ,0AH6WMe3OlAlUb5miXt2FQ,3.9248833333333333
Titanium (feat. Sia),David Guetta,Nothing but the Beat,2011-08-31,59,https://open.spotify.com/track/77TT8Xvx637TpzV8kKGkUw,77TT8Xvx637TpzV8kKGkUw,4.084
Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,76,https://open.spotify.com/track/6lV2MSQmRIkycDScNtrBXO,6lV2MSQmRIkycDScNtrBXO,3.008
Photograph,Ed Sheeran,x (Deluxe Edition),2014-06-21,88,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,1HNkqx9Ahdgi1Ixy2xkKkL,4.316433333333333
Stitches,Shawn Mendes,Handwritten,2015-04-14,13,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76,3zkWCteF82vJwv0hRLba76,3.448
Stone Cold,Demi Lovato,Confident,2015-01-01,66,https://open.spotify.com/track/3by8IfnW9dZ2t4pZw1WVxz,3by8IfnW9dZ2t4pZw1WVxz,3.18845
